IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.11.152,,,,,1
192.168.11.153,,,,,1
192.168.11.154,,,,,1
192.168.11.155,,,,,1
192.168.11.156,,,,,1
192.168.11.157,,,,,1
192.168.11.158,,,,,1
192.168.11.159,,,,,1
192.168.11.160,,,,,1
192.168.11.161,,,,,1
192.168.11.162,,,,,1
192.168.11.163,,,,,1
192.168.11.164,,,,,1
192.168.11.165,,,,,1
192.168.11.166,,,,,1
192.168.11.167,,,,,1
192.168.11.168,,,,,1
192.168.11.169,,,,,1
192.168.11.170,,,,,1
192.168.11.58,,,,,1
192.168.11.59,,,,,1
192.168.11.60,,,,,1
192.168.11.61,,,,,1
192.168.11.62,,,,,1
192.168.11.63,,,,,1
192.168.11.64,,,,,1
192.168.11.65,,,,,1
192.168.11.66,,,,,1
192.168.11.67,,,,,1
192.168.11.68,,,,,1
192.168.11.69,,,,,1
192.168.11.70,,,,,1
192.168.11.71,,,,,1
192.168.11.72,,,,,1
192.168.11.73,,,,,1
192.168.11.74,,,,,1
192.168.11.75,,,,,1
192.168.11.76,,,,,1
192.168.11.77,,,,,1
192.168.11.78,,,,,1
192.168.11.79,,,,,1
192.168.11.80,,,,,1
192.168.11.81,,,,,1
