IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.17.68,M21,,,,1
192.168.17.69,M21,,,,1
192.168.17.70,M21,,,,1
192.168.17.71,M21,,,,1
192.168.17.72,M21,,,,1
192.168.17.73,M21,,,,1
192.168.17.74,M21,,,,1
192.168.17.75,M21,,,,1
192.168.17.76,M21,,,,1
192.168.17.77,M21,,,,1
192.168.17.78,M21,,,,1
192.168.17.79,M21,,,,1
192.168.17.80,M21,,,,1
192.168.17.81,M21,,,,1
192.168.17.82,M21,,,,1
192.168.17.83,M21,,,,1
192.168.17.84,M21,,,,1
192.168.17.85,M21,,,,1
192.168.17.86,M21,,,,1
192.168.17.87,M21,,,,1
192.168.17.88,M21,,,,1
192.168.17.89,M21,,,,1
192.168.17.90,M21,,,,1
192.168.17.91,M21,,,,1
192.168.17.92,M21,,,,1
192.168.17.93,M21,,,,1
192.168.17.94,M21,,,,1
192.168.17.95,M21,,,,1
192.168.17.96,M21,,,,1
192.168.17.97,M21,,,,1
192.168.17.98,M21,,,,1
192.168.17.99,M21,,,,1
192.168.17.100,M21,,,,1
192.168.17.101,M21,,,,1
192.168.18.2,M21,,,,1
192.168.18.3,M21,,,,1
192.168.18.4,M21,,,,1
192.168.18.5,M21,,,,1
192.168.18.6,M21,,,,1
192.168.18.7,M21,,,,1
192.168.18.8,M21,,,,1
192.168.18.9,M21,,,,1
192.168.18.10,M21,,,,1
192.168.18.11,M21,,,,1
192.168.18.12,M21,,,,1
192.168.18.13,M21,,,,1
192.168.18.14,M21,,,,1
192.168.18.15,M21,,,,1
192.168.18.16,M21,,,,1
192.168.18.17,M21,,,,1
192.168.18.18,M21,,,,1
192.168.18.19,M21,,,,1
192.168.18.20,M21,,,,1
192.168.18.21,M21,,,,1
192.168.18.22,M21,,,,1
192.168.18.23,M21,,,,1
192.168.18.24,M21,,,,1
192.168.18.25,M21,,,,1
192.168.18.26,M21,,,,1
192.168.18.27,M21,,,,1
192.168.18.28,M21,,,,1
192.168.18.29,M21,,,,1
192.168.18.30,M21,,,,1
192.168.18.31,M21,,,,1
192.168.18.32,M21,,,,1
192.168.18.33,M21,,,,1
192.168.18.34,M21,,,,1
192.168.18.35,M21,,,,1
192.168.18.36,M21,,,,1
192.168.18.37,M21,,,,1
192.168.18.38,M21,,,,1
192.168.18.39,M21,,,,1
192.168.18.40,M21,,,,1
192.168.18.41,M21,,,,1
192.168.18.42,M21,,,,1
192.168.18.43,M21,,,,1
192.168.18.44,M21,,,,1
192.168.18.45,M21,,,,1
192.168.18.46,M21,,,,1
192.168.18.47,M21,,,,1
